NRO,sukunimi,etunimet,henkilötunnus,tdk (random),osoite,postitoimipaikka,sähköposti,ehdokasnimi,rengas,vaaliliiton järjestys,liitto,ehdokasjärjestys
2,Apajalahti,Ahto Aleksis,,H,Testiosoite 1,10000 Helsinki,etunimi.sukunimi.0@example.com,"Apajalahti, Ahto",Akateemiset piraatit,1,Akateemiset piraatit,1
3,Hanski,Joni Petteri,,ML,Testiosoite 2,10001 Helsinki,etunimi.sukunimi.1@example.com,"Hanski, Joni",Akateemiset piraatit,1,Akateemiset piraatit,2
4,Mäkinen,Joonas Mikael,,V,Testiosoite 3,10002 Helsinki,etunimi.sukunimi.2@example.com,"Mäkinen, Joonas",Akateemiset piraatit,1,Akateemiset piraatit,3
5,Söderholm,Charlotta Mari,,O,Testiosoite 4,10003 Helsinki,etunimi.sukunimi.3@example.com,"Söderholm, Lotta",Akateemiset piraatit,1,Akateemiset piraatit,4
6,Toivanen,Anni Julia,,B,Testiosoite 5,10004 Helsinki,etunimi.sukunimi.4@example.com,"Toivanen, Julia",Tsemppi Group,1,Tsemppi Group,1
7,Liu,Tianyan,,T,Testiosoite 6,10005 Helsinki,etunimi.sukunimi.5@example.com,"Liu, Tianyan",Tsemppi Group,1,Tsemppi Group,2
8,Long,Feiran,,L,Testiosoite 7,10006 Helsinki,etunimi.sukunimi.6@example.com,"Long, Feiran",Tsemppi Group,1,Tsemppi Group,3
9,Bessonova,Anna,,MM,Testiosoite 8,10007 Helsinki,etunimi.sukunimi.7@example.com,"Bessonova, Anna",Tsemppi Group,1,Tsemppi Group,4
10,Rasmussen,Søren Berg,,K,Testiosoite 9,10008 Helsinki,etunimi.sukunimi.8@example.com,"Rasmussen, Søren",Tsemppi Group,1,Tsemppi Group,5
11,Leinius,Johanna,,E,Testiosoite 10,10009 Helsinki,etunimi.sukunimi.9@example.com,"Leinius, Johanna",Tsemppi Group,1,Tsemppi Group,6
12,Gagné,Stéphanie,,H,Testiosoite 11,10010 Helsinki,etunimi.sukunimi.10@example.com,"Gagné, Stéphanie",Tsemppi Group,1,Tsemppi Group,7
13,Franchin,Alessandro,,ML,Testiosoite 12,10011 Helsinki,etunimi.sukunimi.11@example.com,"Franchin, Alessandro",Tsemppi Group,1,Tsemppi Group,8
14,Helenius,Marja-Liisa,,V,Testiosoite 13,10012 Helsinki,etunimi.sukunimi.12@example.com,"Helenius, Marja-Liisa",Tsemppi Group,1,Tsemppi Group,9
15,Chenna,Naveen Kumay,,O,Testiosoite 14,10013 Helsinki,etunimi.sukunimi.13@example.com,"Chenna, Naveen",Tsemppi Group,1,Tsemppi Group,10
